Gene stable ID	Gene type
FBgn0053548	protein_coding
FBgn0010105	protein_coding
FBgn0034974	protein_coding
FBgn0021875	protein_coding
FBgn0010317	protein_coding
FBgn0265894	ncRNA
FBgn0045495	protein_coding
FBgn0010222	protein_coding
FBgn0034693	protein_coding
FBgn0034013	protein_coding
FBgn0082999	snoRNA
FBgn0011672	protein_coding
FBgn0265139	protein_coding
FBgn0040747	protein_coding
FBgn0035332	protein_coding
FBgn0003065	protein_coding
FBgn0039120	protein_coding
FBgn0267686	ncRNA
FBgn0261955	protein_coding
FBgn0015569	protein_coding
FBgn0033524	protein_coding
FBgn0033235	protein_coding
FBgn0263336	ncRNA
FBgn0032167	protein_coding
FBgn0267987	ncRNA
FBgn0086450	protein_coding
FBgn0004573	protein_coding
FBgn0039464	protein_coding
FBgn0051910	protein_coding
FBgn0032065	protein_coding
FBgn0040319	protein_coding
FBgn0026259	protein_coding
FBgn0036772	protein_coding
FBgn0053243	protein_coding
FBgn0030540	protein_coding
FBgn0040010	protein_coding
FBgn0260766	protein_coding
FBgn0032964	protein_coding
FBgn0041627	protein_coding
FBgn0028983	protein_coding
FBgn0010590	protein_coding
FBgn0035932	protein_coding
FBgn0023510	protein_coding
FBgn0038247	protein_coding
FBgn0052085	protein_coding
FBgn0266944	ncRNA
FBgn0024957	protein_coding
FBgn0283557	pre_miRNA
FBgn0001137	protein_coding
FBgn0036918	protein_coding
FBgn0263330	ncRNA
FBgn0038098	protein_coding
FBgn0026385	protein_coding
FBgn0029133	protein_coding
FBgn0010265	protein_coding
FBgn0051636	protein_coding
FBgn0032014	protein_coding
FBgn0265609	ncRNA
FBgn0032774	protein_coding
FBgn0025558	protein_coding
FBgn0267874	pseudogene
FBgn0040382	protein_coding
FBgn0010350	protein_coding
FBgn0037855	protein_coding
FBgn0040233	protein_coding
FBgn0013272	protein_coding
FBgn0038302	protein_coding
FBgn0032002	protein_coding
FBgn0265751	ncRNA
FBgn0284253	protein_coding
FBgn0039644	protein_coding
FBgn0000277	protein_coding
FBgn0262029	protein_coding
FBgn0030687	protein_coding
FBgn0263518	pre_miRNA
FBgn0266020	ncRNA
FBgn0024184	protein_coding
FBgn0266151	ncRNA
FBgn0002069	protein_coding
FBgn0038881	protein_coding
FBgn0034281	protein_coding
FBgn0001235	protein_coding
FBgn0033264	protein_coding
FBgn0260776	protein_coding
FBgn0029523	pseudogene
FBgn0042085	protein_coding
FBgn0050178	protein_coding
FBgn0036141	protein_coding
FBgn0042110	protein_coding
FBgn0054028	protein_coding
FBgn0032087	protein_coding
FBgn0262457	pre_miRNA
FBgn0025573	protein_coding
FBgn0030006	protein_coding
FBgn0052205	ncRNA
FBgn0034793	protein_coding
FBgn0037270	protein_coding
FBgn0052282	protein_coding
FBgn0037664	protein_coding
FBgn0035393	protein_coding
FBgn0263241	protein_coding
FBgn0032935	protein_coding
FBgn0063494	protein_coding
FBgn0040038	protein_coding
FBgn0267881	pseudogene
FBgn0015903	protein_coding
FBgn0034176	protein_coding
FBgn0050254	tRNA
FBgn0260655	protein_coding
FBgn0259187	protein_coding
FBgn0263992	ncRNA
FBgn0034391	protein_coding
FBgn0035240	protein_coding
FBgn0050077	protein_coding
FBgn0264708	ncRNA
FBgn0050392	protein_coding
FBgn0263873	protein_coding
FBgn0266001	ncRNA
FBgn0015778	protein_coding
FBgn0039085	protein_coding
FBgn0003416	protein_coding
FBgn0085236	protein_coding
FBgn0264090	protein_coding
FBgn0011760	protein_coding
FBgn0051352	protein_coding
FBgn0035647	protein_coding
FBgn0029152	protein_coding
FBgn0266911	ncRNA
FBgn0085341	protein_coding
FBgn0015247	protein_coding
FBgn0029606	protein_coding
FBgn0052405	protein_coding
FBgn0037167	protein_coding
FBgn0267533	ncRNA
FBgn0039310	protein_coding
FBgn0030105	protein_coding
FBgn0026380	protein_coding
FBgn0051491	tRNA
FBgn0033021	protein_coding
FBgn0032086	protein_coding
FBgn0259222	protein_coding
FBgn0040338	protein_coding
FBgn0053137	protein_coding
FBgn0036520	protein_coding
FBgn0033316	protein_coding
FBgn0052152	protein_coding
FBgn0264381	ncRNA
FBgn0265427	ncRNA
FBgn0033463	protein_coding
FBgn0051081	protein_coding
FBgn0013686	rRNA
FBgn0004780	protein_coding
FBgn0024291	protein_coding
FBgn0085334	protein_coding
FBgn0033473	protein_coding
FBgn0266405	ncRNA
FBgn0003423	protein_coding
FBgn0039897	protein_coding
FBgn0032221	protein_coding
FBgn0040285	protein_coding
FBgn0034206	protein_coding
FBgn0035019	protein_coding
FBgn0053689	protein_coding
FBgn0051431	protein_coding
FBgn0263088	ncRNA
FBgn0034583	protein_coding
FBgn0028862	protein_coding
FBgn0250910	protein_coding
FBgn0265593	ncRNA
FBgn0266362	ncRNA
FBgn0051730	protein_coding
FBgn0037490	protein_coding
FBgn0264601	ncRNA
FBgn0039288	protein_coding
FBgn0263745	pseudogene
FBgn0261932	protein_coding
FBgn0266580	protein_coding
FBgn0040376	protein_coding
FBgn0026619	protein_coding
FBgn0265643	ncRNA
FBgn0266994	ncRNA
FBgn0260480	protein_coding
FBgn0035771	protein_coding
FBgn0037654	protein_coding
FBgn0025382	protein_coding
FBgn0267517	pseudogene
FBgn0264723	ncRNA
FBgn0036921	protein_coding
FBgn0035141	protein_coding
FBgn0267619	ncRNA
FBgn0052194	ncRNA
FBgn0044030	protein_coding
FBgn0266698	ncRNA
FBgn0030868	protein_coding
FBgn0266736	ncRNA
FBgn0036763	protein_coding
FBgn0050496	protein_coding
FBgn0039466	protein_coding
FBgn0262944	ncRNA
FBgn0028402	protein_coding
FBgn0061492	protein_coding
FBgn0264911	protein_coding
FBgn0004577	protein_coding
FBgn0036482	protein_coding
FBgn0046704	protein_coding
FBgn0250849	protein_coding
FBgn0037298	protein_coding
FBgn0031731	protein_coding
FBgn0032799	protein_coding
FBgn0264548	ncRNA
FBgn0086361	protein_coding
FBgn0029092	protein_coding
FBgn0025820	protein_coding
FBgn0028550	protein_coding
FBgn0032706	protein_coding
FBgn0033580	protein_coding
FBgn0266823	ncRNA
FBgn0260953	protein_coding
FBgn0030102	protein_coding
FBgn0031639	protein_coding
FBgn0038110	protein_coding
FBgn0040697	protein_coding
FBgn0265314	ncRNA
FBgn0265297	protein_coding
FBgn0037234	protein_coding
FBgn0033781	protein_coding
FBgn0264707	protein_coding
FBgn0053380	rRNA
FBgn0026388	protein_coding
FBgn0263662	ncRNA
FBgn0065058	snoRNA
FBgn0261461	protein_coding
FBgn0052479	protein_coding
FBgn0284244	protein_coding
FBgn0015268	protein_coding
FBgn0028622	protein_coding
FBgn0002781	protein_coding
FBgn0267643	ncRNA
FBgn0038244	protein_coding
FBgn0267600	ncRNA
FBgn0262351	protein_coding
FBgn0032699	protein_coding
FBgn0039240	protein_coding
FBgn0037005	protein_coding
FBgn0053969	protein_coding
FBgn0032656	protein_coding
FBgn0264000	protein_coding
FBgn0032126	protein_coding
FBgn0028406	protein_coding
FBgn0036150	protein_coding
FBgn0052057	protein_coding
FBgn0001189	protein_coding
FBgn0039504	protein_coding
FBgn0000719	protein_coding
FBgn0039193	protein_coding
FBgn0267469	ncRNA
FBgn0265908	ncRNA
FBgn0262733	protein_coding
FBgn0267148	ncRNA
FBgn0263050	protein_coding
FBgn0031490	protein_coding
FBgn0043854	protein_coding
FBgn0032170	protein_coding
FBgn0263498	ncRNA
FBgn0031244	protein_coding
FBgn0030815	protein_coding
FBgn0032587	protein_coding
FBgn0045487	protein_coding
FBgn0035515	protein_coding
FBgn0266177	protein_coding
FBgn0035107	protein_coding
FBgn0260943	protein_coding
FBgn0001216	protein_coding
FBgn0035057	protein_coding
FBgn0039867	protein_coding
FBgn0047330	protein_coding
FBgn0040996	protein_coding
FBgn0010438	protein_coding
FBgn0085396	protein_coding
FBgn0085391	protein_coding
FBgn0283434	protein_coding
FBgn0028969	protein_coding
FBgn0030701	protein_coding
FBgn0267385	protein_coding
FBgn0031613	protein_coding
FBgn0028850	protein_coding
FBgn0036101	protein_coding
FBgn0034346	protein_coding
FBgn0025692	protein_coding
FBgn0034499	protein_coding
FBgn0005671	protein_coding
FBgn0035942	protein_coding
FBgn0033860	protein_coding
FBgn0031043	protein_coding
FBgn0024360	protein_coding
FBgn0260469	pseudogene
FBgn0264952	ncRNA
FBgn0043530	protein_coding
FBgn0039462	protein_coding
FBgn0265193	protein_coding
FBgn0262301	pre_miRNA
FBgn0050208	tRNA
FBgn0003460	protein_coding
FBgn0035194	protein_coding
FBgn0085362	protein_coding
FBgn0033188	protein_coding
FBgn0003087	protein_coding
FBgn0261059	protein_coding
FBgn0051463	protein_coding
FBgn0003557	protein_coding
FBgn0267802	ncRNA
FBgn0284220	protein_coding
FBgn0033365	protein_coding
FBgn0030813	protein_coding
FBgn0086445	protein_coding
FBgn0000404	protein_coding
FBgn0033134	protein_coding
FBgn0022787	protein_coding
FBgn0033302	protein_coding
FBgn0265060	ncRNA
FBgn0037124	protein_coding
FBgn0038427	protein_coding
FBgn0086074	snoRNA
FBgn0263321	protein_coding
FBgn0259794	protein_coding
FBgn0039538	protein_coding
FBgn0032681	protein_coding
FBgn0004380	protein_coding
FBgn0024997	protein_coding
FBgn0038662	protein_coding
FBgn0263413	ncRNA
FBgn0003377	protein_coding
FBgn0267581	ncRNA
FBgn0013690	tRNA
FBgn0037421	protein_coding
FBgn0267150	ncRNA
FBgn0263769	ncRNA
FBgn0012004	tRNA
FBgn0051286	protein_coding
FBgn0039673	protein_coding
FBgn0039265	protein_coding
FBgn0085206	protein_coding
FBgn0040238	protein_coding
FBgn0086691	protein_coding
FBgn0039714	protein_coding
FBgn0037115	protein_coding
FBgn0267703	ncRNA
FBgn0031219	protein_coding
FBgn0053270	protein_coding
FBgn0036240	protein_coding
FBgn0038312	protein_coding
FBgn0267221	ncRNA
FBgn0262537	protein_coding
FBgn0010812	protein_coding
FBgn0036579	protein_coding
FBgn0036427	protein_coding
FBgn0029778	protein_coding
FBgn0266023	ncRNA
FBgn0263772	protein_coding
FBgn0036553	protein_coding
FBgn0020510	protein_coding
FBgn0027343	protein_coding
FBgn0022160	protein_coding
FBgn0027780	protein_coding
FBgn0066303	protein_coding
FBgn0264845	protein_coding
FBgn0034736	protein_coding
FBgn0039043	protein_coding
FBgn0086026	snoRNA
FBgn0000044	protein_coding
FBgn0035669	protein_coding
FBgn0267989	ncRNA
FBgn0267595	pseudogene
FBgn0033579	protein_coding
FBgn0039900	protein_coding
FBgn0035147	protein_coding
FBgn0028533	protein_coding
FBgn0051064	protein_coding
FBgn0000709	protein_coding
FBgn0029833	protein_coding
FBgn0015521	protein_coding
FBgn0034179	protein_coding
FBgn0263852	protein_coding
FBgn0033887	protein_coding
FBgn0037447	protein_coding
FBgn0045476	protein_coding
FBgn0028336	protein_coding
FBgn0026602	protein_coding
FBgn0036967	protein_coding
FBgn0034539	protein_coding
FBgn0266357	ncRNA
FBgn0040475	protein_coding
FBgn0000376	protein_coding
FBgn0053534	tRNA
FBgn0036368	protein_coding
FBgn0261262	protein_coding
FBgn0036592	protein_coding
FBgn0004435	protein_coding
FBgn0036488	protein_coding
FBgn0031608	protein_coding
FBgn0030447	protein_coding
FBgn0038855	protein_coding
FBgn0266675	ncRNA
FBgn0027610	protein_coding
FBgn0262481	protein_coding
FBgn0037177	protein_coding
FBgn0053160	protein_coding
FBgn0263415	ncRNA
FBgn0266116	ncRNA
FBgn0037594	protein_coding
FBgn0035720	protein_coding
FBgn0266176	protein_coding
FBgn0263220	protein_coding
FBgn0263554	pre_miRNA
FBgn0036677	protein_coding
FBgn0037241	protein_coding
FBgn0010015	protein_coding
FBgn0004872	protein_coding
FBgn0023096	protein_coding
FBgn0262341	pre_miRNA
FBgn0046332	protein_coding
FBgn0000274	protein_coding
FBgn0036416	protein_coding
FBgn0039930	protein_coding
FBgn0020388	protein_coding
FBgn0032721	protein_coding
FBgn0052073	protein_coding
FBgn0033766	protein_coding
FBgn0053901	protein_coding
FBgn0037131	protein_coding
FBgn0265669	protein_coding
FBgn0085789	pseudogene
FBgn0036072	protein_coding
FBgn0037442	protein_coding
FBgn0265204	ncRNA
FBgn0267323	ncRNA
FBgn0051356	tRNA
FBgn0035583	protein_coding
FBgn0031801	protein_coding
FBgn0050374	pseudogene
FBgn0262531	protein_coding
FBgn0085398	protein_coding
FBgn0053547	protein_coding
FBgn0035063	protein_coding
FBgn0035722	protein_coding
FBgn0053360	rRNA
FBgn0267687	ncRNA
FBgn0267189	ncRNA
FBgn0051619	protein_coding
FBgn0052271	protein_coding
FBgn0040281	protein_coding
FBgn0027518	protein_coding
FBgn0264002	protein_coding
FBgn0036589	protein_coding
FBgn0262433	pre_miRNA
FBgn0041723	protein_coding
FBgn0050377	protein_coding
FBgn0267932	ncRNA
FBgn0015584	protein_coding
FBgn0263512	protein_coding
FBgn0260741	protein_coding
FBgn0262880	protein_coding
FBgn0265933	ncRNA
FBgn0052712	protein_coding
FBgn0024232	protein_coding
FBgn0036421	protein_coding
FBgn0054054	protein_coding
FBgn0051613	protein_coding
FBgn0037976	protein_coding
FBgn0046696	ncRNA
FBgn0001125	protein_coding
FBgn0087035	protein_coding
FBgn0083003	snoRNA
FBgn0265646	ncRNA
FBgn0266242	ncRNA
FBgn0053458	protein_coding
FBgn0035909	protein_coding
FBgn0266892	ncRNA
FBgn0051221	protein_coding
FBgn0038528	protein_coding
FBgn0030598	protein_coding
FBgn0051327	protein_coding
FBgn0031621	protein_coding
FBgn0031216	protein_coding
FBgn0037857	protein_coding
FBgn0033005	protein_coding
FBgn0032602	protein_coding
FBgn0003278	protein_coding
FBgn0051922	protein_coding
FBgn0028968	protein_coding
FBgn0002631	protein_coding
FBgn0035704	protein_coding
FBgn0259226	protein_coding
FBgn0262587	protein_coding
FBgn0266913	ncRNA
FBgn0028866	protein_coding
FBgn0037383	protein_coding
FBgn0032961	protein_coding
FBgn0039177	protein_coding
FBgn0037293	protein_coding
